Date	Author ID	Frequency
2018-01-15	413918876	1
2018-01-15	51373835	1
2018-01-15	2666220600	1
2018-01-15	101285187	1
2018-01-15	794755878	1
2018-01-15	1632559039	1
2018-01-15	3787261155	1
2018-01-15	145319868	1
2018-01-15	542367047	1
2018-01-15	4235993779	1
2018-01-15	3108499885	1
2018-01-15	1380840205	1
2018-01-15	18294290	1
2018-01-15	87712547	1
2018-01-15	4835568794	1
2018-01-15	65922633	1
2018-01-15	182036276	1
2018-01-15	400067888	1
2018-01-15	831503763714224128	1
2018-01-15	4128154462	1
2018-01-15	18278964	1
2018-01-15	3232167326	1
2018-01-15	255800758	1
2018-01-15	2688971774	1
2018-01-15	1483494488	1
2018-01-15	869821848632127488	1
2018-01-15	44471882	1
2018-01-15	2706565248	1
2018-01-15	907585506824695809	1
2018-01-15	2885138191	1
2018-01-15	462419435	1
2018-01-15	221047575	1
2018-01-15	168518243	1
2018-01-15	933951338064445440	1
2018-01-15	1617848755	1
2018-01-15	881943218052583425	1
2018-01-15	2922918807	1
2018-01-15	370183739	1
2018-01-15	713849353203417088	1
2018-01-15	1447758398	1
2018-01-15	780093345355927553	1
2018-01-15	18938604	1
2018-01-15	198353886	1
2018-01-15	885190436	1
2018-01-15	730139114641612800	1
2018-01-15	282050399	1
2018-01-15	824748495802359808	1
2018-01-15	404793266	1
2018-01-15	20352767	1
2018-01-15	825386589555527682	1
2018-01-15	1729477746	1
2018-01-15	262935888	1
2018-01-15	713582080291172352	1
2018-01-15	2888192372	1
2018-01-15	715172214	1
2018-01-15	161412694	1
2018-01-15	1216996003	1
2018-01-15	848361132700073986	1
2018-01-15	17158140	1
2018-01-15	4831368528	1
2018-01-15	1264566066	1
2018-01-15	48441835	1
2018-01-15	52378738	1
2018-01-15	264595185	1
2018-01-15	3261240259	1
2018-01-15	91559862	1
2018-01-15	49255387	1
2018-01-15	25689428	1
2018-01-15	807402743631671296	1
2018-01-15	2515911879	1
2018-01-15	903853669879353344	1
2018-01-15	321879241	1
2018-01-15	809805362	1
2018-01-15	43828180	1
2018-01-15	395820172	1
2018-01-15	811022086034616320	1
2018-01-15	551106715	1
2018-01-15	826909339399106565	1
2018-01-15	512444418	1
2018-01-15	902267642475671555	1
2018-01-15	36588790	1
2018-01-15	2605774730	1
2018-01-15	870487085303595008	1
2018-01-15	45794719	1
2018-01-15	795677278659297280	1
2018-01-15	948716334476443648	1
2018-01-15	29618591	1
2018-01-15	701485204943335425	1
2018-01-15	198329506	1
2018-01-15	29356374	1
2018-01-15	860809302	1
2018-01-15	139007121	1
2018-01-15	226645561	1
2018-01-15	127808382	1
2018-01-15	934069867837304832	1
2018-01-15	1059997909	1
2018-01-15	105550574	1
2018-01-15	16362321	1
2018-01-15	2556124064	1
2018-01-15	252852141	1
2018-01-15	536756036	1
2018-01-15	2351901348	1
2018-01-15	929613392318525440	1
2018-01-15	302204453	1
2018-01-15	951663584026783744	1
2018-01-15	763109769599193093	1
2018-01-15	3396287981	1
2018-01-15	3880421240	1
2018-01-15	909588810857512961	1
2018-01-15	566579405	1
2018-01-15	1036913059	1
2018-01-15	780628080	1
2018-01-15	841497179235663873	1
2018-01-15	17444647	1
2018-01-15	951534548403310592	1
2018-01-15	22339420	1
2018-01-15	23033825	1
2018-01-15	115825159	1
2018-01-15	53616174	1
2018-01-15	266131331	1
2018-01-15	944741354147663873	1
2018-01-15	888907268304945152	1
2018-01-15	938487335129194496	1
2018-01-15	242438723	1
2018-01-15	796498896532946944	1
2018-01-15	933516792621944833	1
2018-01-15	53269253	1
2018-01-15	947596151032705025	1
2018-01-15	251458911	1
2018-01-15	15030420	1
2018-01-15	326788733	1
2018-01-15	382295357	1
2018-01-15	3229920812	1
2018-01-15	2899568855	1
2018-01-15	987538316	1
2018-01-15	69490657	1
